Variable,Description,Type,Coding / Range
Online,Questionnaire completed online,Categorical,0 = No; 1 = Yes
gender,Respondent gender,Categorical,1 = Male; 2 = Female; 3 = Other
year,Current academic year,Ordinal categorical,1 = Year 1; 2 = Year 2; 3 = Year 3; 4 = Year 4; 5 = Other
field,Respondent’s field of study,Nominal categorical,1 = Economics and Business; 2 = Engineering and Technology; 3 = Languages and Linguistics; 4 = Health Sciences; 5 = Education; 6 = Culture and Arts; 7 = Information Technology; 8 = Other
class_per_week,Average number of online learning class periods per week,Ordinal categorical,1 = 1–3 periods; 2 = 4–6 periods; 3 = 7–9 periods; 4 = 10 or more periods
COM,Personal competence in using the Internet; mean of COM1–COM6,Continuous,1–5; higher = greater Internet competence
REL,Online relatedness; mean of REL1–REL8,Continuous,1–5; higher = greater relatedness
AUT,Autonomy in Internet use; mean of AUT1–AUT7,Continuous,1–5; higher = greater autonomy
MEH,Mental health/well-being; mean of MEH1–MEH5,Continuous,1–5; higher = better mental health
ACM,Academic motivation for online learning; mean of ACM1–ACM7,Continuous,1–5; higher = greater academic motivation
ACP,Perceived academic performance; mean of ACP1–ACP5,Continuous,1–5; higher = better perceived academic performance
